stop, ,Kashi,Dharhara,Chaubeypur,Dubkia,Chiraiyan Ganv Block,Ledupur,Ashapur,Pahadia,Pandeypur,Police Line,Kachahari,Cantt
distance, , ,,10,14,17,21,23,24,25,27,27,30
fare,, ,,15,18,22,24,24,24,24,27,27,27
,ARR.,,,6:02,6:29,6:36,6:43,6:48,6:51,6:54,6:59,7:08,7:15
,DEP., ,6,6:21,6:03,6:37,6:44,6:49,6:52,6:55,6:07,7:09,
,ARR.,,,6:05,6:59,7:06,7:13,7:18,7:21,7:24,7:29,7:38,7:45
 ,DEP.,,6:03,6:51,6:06,7:07,7:14,7:19,7:22,7:25,7:03,7:39,
,ARR.,,,9:05,9:59,10:06,10:13,10:18,10:21,10:24,10:29,10:38,10:45
,DEP.,,9:03,9:51,10,10:07,10:14,10:19,10:22,10:25,10:03,10:39,
,ARR.,,,10:02,10:29,10:36,10:43,10:48,10:51,10:54,10:59,11:08,11:15
,DEP.,,10,10:21,10:03,10:37,10:44,10:49,10:52,10:55,11,11:09,
,ARR.,,,13:02,13:29,13:36,13:43,13:48,13:51,13:54,13:59,14:08,14:15
,DEP.,,13,13:21,13:03,13:37,13:44,13:49,13:52,13:55,14,14:09,14:16
,ARR.,,,14:02,14:29,14:36,14:43,14:48,14:51,14:54,14:59,15:08,15:15
,DEP.,,14,14:21,14:03,14:37,14:44,14:49,14:52,14:55,15,15:09,
,ARR.,,,16:05,16:59,17:06,17:13,17:18,17:21,17:24,17:29,17:38,17:45
,DEP.,,16:03,16:51,17,17:07,17:14,17:19,17:22,17:25,17:03,17:39,
,ARR.,,,17:05,17:59,18:06,18:13,18:18,18:21,18:24,18:29,18:38,18:45
,DEP.,,17:03,17:51,18,18:07,18:14,18:19,18:22,18:25,18:03,18:39,
