stop,,Kashi,Ramgarh,Dewdha,Guraira,Chahania,Kailawar,Pakhopur,Bupauli,Kaili,Patapara,Mughal Sarai,Dulhi pur,Padao
distance,,,0,4,7,10,14,16,20,22,26,30,35,40
fare,,,,10.00,12.00,15.00,18.00,22.00,22.00,24.00,27.00,27.00,30.00,36.00
,arr,,,5:08,5:15,5:22,5:31,5:36,5:45,5:50,5:59,6:08,6:28,6:39
,dep,,5:00,5:09,5:16,5:23,5:32,5:37,5:46,5:51,6:00,6:18,6:29,
,arr,,,5:38,5:45,5:52,6:01,6:06,6:15,6:20,6:29,6:38,6:58,7:09
,dep,,5:30,5:39,5:46,5:53,6:02,6:07,6:16,6:21,6:30,6:48,6:59,
,arr,,,9:38,9:45,9:52,10:01,10:06,10:15,10:20,10:29,10:38,10:58,11:09
,dep,,9:30,9:39,9:46,9:53,6:02,10:07,10:16,10:21,10:30,10:48,10:59,
,arr,,,14:08,14:15,14:22,14:31,14:36,14:45,14:50,14:59,15:08,15:28,15:39
,dep,,14:00,14:09,14:16,14:23,14:32,14:37,14:46,14:51,15:00,15:18,15:29,
