STOP, ,Cantt,Chauka Ghat,Police Line,Pandey Pur,Pahadia,Ashapur,Chandramod,Tilmapur,Chiraiyan Ganv,Gaura,Savaka Pokhra,Jalhupur,Bhagatua,Balua Ghat
DISTANCE, ,0,1,3,5,6,7,8,9,13,15,18,21,25,28
FARE,,0.00,6.00,6.00,12.00,12.00,12.00,15.00,15.00,18.00,18.00,22.00,24.00,24.00,27.00
,ARR.,,6:03,6:11,6:19,6:23,6:27,6:31,6:35,6:51,6:59,7:11,7:23,7:39,7:52
,DEP.,6:00,6:04,6:12,6:20,6:24,6:28,6:32,6:36,6:52,7:00,7:12,7:24,7:40,
 ,ARR.,,10:33,10:41,10:49,10:53,10:57,11:01,11:05,11:21,11:29,11:41,11:53,12:09,12:22
 ,DEP.,10:30,10:34,10:42,10:50,10:54,10:58,11:02,11:06,11:22,11:30,11:42,11:54,12:10,
,ARR.,,14:33,14:41,14:49,14:53,14:57,15:01,15:05,15:21,15:29,15:41,15:53,16:09,16:22
,DEP.,14:30,14:34,14:42,14:50,14:54,14:58,15:02,15:06,15:22,15:30,15:42,15:54,16:10,
,ARR.,,18:33,18:41,18:49,18:53,18:57,19:01,19:05,19:21,19:29,19:41,19:53,20:09,20:22
,DEP.,18:30,18:34,18:42,18:50,18:54,18:58,19:02,19:06,19:22,19:30,19:42,19:54,20:10,halt
