stop, ,Kashi,Padao,Ramnagar,Narayanpur,Ranibagh,Adalhat,Hatampur,Ahraura
distance, , ,,5,14,18,24,30,35
fare,, ,,10,18,22,24,27,30
,ARR.,,,7:04,7:59,8:08,8:21,8:34,8:45
,DEP., ,7:03,7:41,8,8:09,8:22,8:35,
,ARR.,,,8:01,8:29,8:38,8:51,9:04,9:15
,DEP.,,8,8:11,8:03,8:39,8:52,9:05,
,ARR.,,,8:04,8:59,9:08,9:21,9:34,9:45
,DEP.,,8:03,8:41,9,9:09,9:22,9:35, 
,ARR.,,,10:04,10:59,11:08,11:21,11:34,11:45
,DEP.,,10:03,10:41,11,11:09,11:22,11:35,11:46
,ARR.,,,11:01,11:29,11:38,11:51,12:04,12:15
,DEP.,,11,11:11,11:03,11:39,11:52,12:05, 
,ARR.,,,11:04,11:59,12:08,12:21,12:34,12:45
,DEP.,,11:03,11:41,12,12:09,12:22,12:35,
,ARR.,,,13:04,13:59,14:08,14:21,14:34,14:45
,DEP.,,13:03,13:41,14,14:09,14:22,14:34,
,ARR.,,,14:01,14:29,14:38,14:51,15:04,15:15
,DEP.,,14,14:11,14:03,14:39,14:52,15:05,
,ARR.,,,14:04,14:59,15:08,15:21,15:34,15:45
,DEP.,,14:03,14:41,15,15:09,15:22,15:35,
