stop, ,Kashi,Mangari,Ahrak,Satomahua,Kajisarai,Harauan,Vyasbagh,BHEL,Tarana,Agrasen Mod,Gillat Bazar,Bhojubir,Police Line,Cantt
distance, , , ,2,7,9,12,15,16,17,19,21,22,23,26
fare,, ,,6,12,15,18,18,22,22,22,24,24,24,27
,arr,,,7:04,7:15,7:02,7:25,7:32,7:35,7:38,7:43,7:48,7:51,7:54,8:01
,dep, ,7,7:05,7:16,7:21,7:26,7:33,7:36,7:39,7:44,7:49,7:52,7:55,
,arr,,,10:04,10:15,10:02,10:25,10:32,10:35,10:38,10:43,10:48,10:51,10:54,11:01
 ,dep,,10,10:05,10:16,10:21,10:26,10:33,10:36,10:39,10:44,10:49,10:52,10:55, 
,arr,,,13:04,13:15,13:02,13:25,13:32,13:35,13:38,13:43,13:48,13:51,13:54,14:01
,dep,,13,13:05,13:16,13:21,13:26,13:33,13:36,13:39,13:44,13:49,13:52,13:55,
,arr,,,16:04,16:15,16:02,16:25,16:32,16:35,16:38,16:43,16:48,16:51,16:54,17:01
,dep,,16,16:05,16:16,16:21,16:26,16:33,16:36,16:39,16:44,16:49,16:52,16:55,
