stop, ,Sevapuri,Gaurai,Badaura,Jansa,Akelwa,Lohta,Chandpur,Cantt
distance, ,0,1,4,8,14,19,23,26
fare,,,6.00,10.00,12.00,18.00,22.00,24.00,27.00
,arr,,5:33,5:45,6:01,6:25,6:45,7:01,7:14
,dep,5:30,5:34,5:46,6:02,6:26,6:46,7:02,
 ,arr,,5:53,6:05,6:21,6:45,7:05,7:21,7:34
 ,dep,5:50,5:54,6:06,6:22,6:46,7:06,7:22,
,arr,,6:13,6:25,6:41,7:05,7:25,7:41,7:54
,dep,6:10,6:14,6:26,6:42,7:06,7:26,7:42,
,arr,,7:33,7:45,8:01,8:25,8:45,9:01,9:14
,dep,7:30,7:34,7:46,8:02,8:26,8:46,9:02,
,arr,,7:53,8:05,8:21,8:45,9:05,9:21,9:34
,dep,7:50,7:54,8:06,8:22,8:46,9:06,9:22,
,arr,,8:13,8:25,8:41,9:05,9:25,9:41,9:54
,dep,8:10,8:14,8:26,8:42,9:06,9:26,9:42,
,arr,,9:33,9:45,10:01,10:25,10:45,11:01,11:14
,dep,9:30,9:34,9:46,10:02,10:26,10:46,11:02,
,arr,,9:53,10:05,10:21,10:45,11:05,11:21,11:34
,dep,9:50,9:54,10:06,10:22,10:46,11:06,11:22,
,arr,,10:13,10:25,10:41,11:05,11:25,11:41,11:54
,dep,10:10,10:14,10:26,10:42,11:06,11:26,11:42,
,arr,,11:33,11:45,12:01,12:25,12:45,13:01,13:14
,dep,11:30,11:34,11:46,12:02,12:26,12:46,13:02,
,arr,,11:53,12:05,12:21,12:45,13:05,13:21,13:34
,dep,11:50,11:54,12:06,12:22,12:46,13:06,13:22,
,arr,,12:13,12:25,12:41,13:05,13:25,13:41,13:54
,dep,12:10,12:14,12:26,12:42,13:06,13:26,13:42,
,arr,,13:33,13:45,14:01,14:25,14:45,15:01,15:14
,dep,13:30,13:34,13:46,14:02,14:26,14:46,15:02,
,arr,,13:53,14:05,14:21,14:45,15:05,15:21,15:34
,dep,13:50,13:54,14:06,14:22,14:46,15:06,15:22,
,arr,,14:13,14:25,14:41,15:05,15:25,15:41,15:54
,dep,14:10,14:14,14:26,14:42,15:06,15:26,15:42,
,arr,,15:33,15:45,16:01,16:25,16:45,17:01,17:14
,dep,15:30,15:34,15:46,16:02,16:26,16:46,17:02,
,arr,,15:53,16:05,16:21,16:45,17:05,17:21,17:34
,dep,15:50,16:54,16:06,16:22,16:46,17:06,17:22,
,arr,,16:13,16:25,16:41,17:05,17:25,17:41,17:54
,dep,16:10,16:14,16:26,16:42,17:06,17:26,17:42,
,arr,,17:33,17:45,18:01,18:25,18:45,19:01,19:14
,dep,17:30,17:34,17:46,18:02,18:26,18:46,19:02,
,arr,,17:53,18:05,18:21,18:45,19:05,19:21,19:34
,dep,17:50,17:54,18:06,18:22,18:46,19:06,19:22,
,arr,,18:13,18:25,18:41,19:05,19:25,19:41,19:54
,dep,18:10,18:14,18:26,18:42,19:06,19:26,19:42,
,arr,,18:33,18:45,19:01,19:25,19:45,20:01,20:14
,dep,18:30,18:34,18:46,19:02,19:26,19:46,20:02,
,arr,,18:53,19:05,19:21,19:45,20:05,20:21,20:34
,dep,18:50,18:54,19:06,19:22,19:46,20:06,20:22,
,arr,,19:13,19:25,19:41,20:05,20:25,20:41,20:54
,dep,19:10,19:14,19:26,19:42,20:06,20:26,20:42,
