stop, ,Kashi,Virapatti,Sikandarpur,Dhamahapur,Bharlai,Agrasen Mod,Gillat bazar,Bhojubir,Police Line ,Cantt.
distance, , ,,3,6,8,12,14,15,16,19
fare,, ,,6,12,12,18,18,18,22,22
,arr,,,7:06,7:13,7:18,7:27,7:32,7:35,7:38,7:45
 ,dep, ,7,7:07,7:14,7:19,7:28,7:33,7:36,7:39,
,arr,,,9:06,9:13,9:18,9:27,9:32,9:35,9:38,9:45
 ,dep,,9,9:07,9:14,9:19,9:28,9:33,9:36,9:39,
,arr,,,11:06,11:13,11:18,11:27,11:32,11:35,11:38,11:45
,dep,,11,11:07,11:14,11:19,11:28,11:33,11:36,11:39,
,arr,,,13:06,13:13,13:18,13:27,13:32,13:35,13:38,13:45
,dep,,13,13:07,13:14,13:19,13:28,13:33,13:36,13:39,
,arr,,,16:06,16:13,16:18,16:27,16:32,16:35,16:38,16:45
,dep,,16,16:07,16:14,16:19,16:28,16:33,16:36,16:39,
